scheme_name_master,beta,return_1yr_pct,risk_grade
SBI Small Cap Fund - Direct Plan - Growth,1.04,20.59,Very High
HDFC Mid-Cap Opportunities Fund - Direct - Growth,1.04,19.98,High
Nippon India ETF Nifty 50 BeES,1.04,10.14,Moderate
Nippon India Small Cap Fund - Regular - Growth,1.03,21.3,Very High
ICICI Pru Bluechip Fund - Direct - Growth,1.03,14.12,Moderate
ABSL Frontline Equity Fund - Regular - Growth,1.03,14.82,Moderate
Nippon India Large Cap Fund - Direct - Growth,1.02,14.42,Moderate
ICICI Pru Midcap Fund - Regular - Growth,1.0,14.02,High
UTI Flexi Cap Fund - Regular - Growth,1.0,17.43,Moderately High
Axis Midcap Fund - Regular - Growth,1.0,14.88,High
Axis Small Cap Fund - Regular - Growth,1.0,21.97,Very High
Kotak Emerging Equity Fund - Regular - Growth,1.0,17.12,High
Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.99,14.91,Moderately High
DSP Small Cap Fund - Regular - Growth,0.98,20.2,Very High
DSP Midcap Fund - Regular - Growth,0.98,14.12,High
Mirae Asset Tax Saver Fund - Regular - Growth,0.98,11.16,High
HDFC Top 100 Fund - Regular Plan - Growth,0.97,10.94,Moderate
HDFC Top 100 Fund - Direct Plan - Growth,0.97,11.48,Moderate
ABSL Small Cap Fund - Regular - Growth,0.97,24.93,Very High
ICICI Pru Bluechip Fund - Regular - Growth,0.96,15.63,Moderate
Mirae Asset Large Cap Fund - Regular - Growth,0.96,15.12,Moderate
Kotak Flexicap Fund - Regular - Growth,0.95,15.74,Moderately High
Kotak Bluechip Fund - Regular - Growth,0.93,14.37,Moderate
UTI Mid Cap Fund - Regular - Growth,0.92,16.3,High
ICICI Pru Value Discovery Fund - Regular - Growth,0.92,16.67,Moderately High
HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.91,15.43,High
DSP Top 100 Equity Fund - Regular - Growth,0.91,11.96,Moderate
Axis Bluechip Fund - Regular - Growth,0.91,11.82,Moderate
UTI Nifty 50 Index Fund - Regular - Growth,0.9,13.76,Moderate
SBI Bluechip Fund - Regular Plan - Growth,0.89,12.42,Moderate
SBI Small Cap Fund - Regular Plan - Growth,0.89,24.56,Very High
Nippon India Large Cap Fund - Regular - Growth,0.88,15.84,Moderate
Axis Bluechip Fund - Direct - Growth,0.87,13.95,Moderate
SBI Bluechip Fund - Direct Plan - Growth,0.87,15.25,Moderate
Kotak Liquid Fund - Regular - Growth,0.47,4.26,Low
HDFC Short Term Debt Fund - Regular - Growth,0.44,6.83,Low
ABSL Liquid Fund - Regular - Growth,0.43,6.18,Low
Nippon India Gilt Securities Fund - Regular - Growth,0.37,6.19,Low
ICICI Pru Liquid Fund - Regular - Growth,0.26,8.89,Low
SBI Magnum Gilt Fund - Regular Plan - Growth,0.22,5.34,Low
