scheme_name_master,return_3yr_pct,benchmark_3yr_pct,alpha
HDFC Short Term Debt Fund - Regular - Growth,7.37,5.39,1.98
Kotak Emerging Equity Fund - Regular - Growth,18.23,16.32,1.91
ICICI Pru Liquid Fund - Regular - Growth,7.68,5.83,1.85
Kotak Flexicap Fund - Regular - Growth,15.65,13.8,1.85
ABSL Small Cap Fund - Regular - Growth,22.38,20.54,1.84
DSP Top 100 Equity Fund - Regular - Growth,12.82,11.0,1.82
Nippon India ETF Nifty 50 BeES,11.77,9.97,1.8
UTI Flexi Cap Fund - Regular - Growth,15.34,13.55,1.79
SBI Bluechip Fund - Direct Plan - Growth,11.3,9.52,1.78
Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.56,12.86,1.7
